Property Reference Number,Full Property Address,Primary Liable party name,Analysis Code,Account Start Date,Current Rateable Value
177506924110,"Knightstone Housing, Knightstone Court, The Ridings, Portsmouth, PO2 0UU",Abri Group Limited,CO,06/04/2020,690
177503198110,"229, Goldsmith Avenue, Southsea, Hants, PO4 0BS",Acadia Timber Ltd,CW3,23/05/2000,8200
177506853010,"28 - 34, Herbert Street, Portsmouth, PO1 4QT",Access Self Storage Ltd,CW,01/10/2003,66000
177508954310,"Unit 23, Cascades, Portsmouth, PO1 4RJ",Accessorize Stores Ltd,CS,13/07/2020,67000
177509108210,"Unit 22, Enterprise Centre, Quartremaine Road, Portsmouth, PO3 5QT",Acci Airconditioning Ltd,IF3,01/12/2015,3400
177508728310,"Hotel Ibis, Winston Churchill Avenue, Portsmouth, PO1 2LX",Accor Uk Economy Hotels Ltd,CH,01/04/1990,317000
177511377810,"Ibis Hotel, Fratton Way, Southsea, Hants, PO4 8SL",Accor Uk Economy Hotels Ltd,CH,05/12/2008,173000
177511643210,"First Floor Front, 34, Middle Street, Southsea, Hants, PO5 4BP",Accountability Recruitment (South) Ltd,CO,31/10/2009,7200
177505800310,"Unit B, Nevil Shute Road, Portsmouth, PO3 5RL",Accuracy International Limited,IF,18/12/2017,76000
177507272510,"Accuracy International Ltd, Plot 2, Sharps Close, Portsmouth, PO3 5PS",Accuracy International Limited,IF,29/04/2005,89000
177510780220,"Unit 3 Explorer, Voyager Park, Portfield Road, Portsmouth, PO3 5FL",Accuracy International Limited,CW,18/02/2011,44750
177501621310,"261, Commercial Road, Portsmouth, PO1 4BP",Ace Academy Training Centre Ltd,CS,16/12/2015,3150
177512270610,"B3 & B4 Gatcombe House, Copnor Road, Portsmouth, PO3 5EJ",Ace Dot Services Limited,CO,01/01/2021,2100
177502726410,"Ground Floor, 80, Fawcett Road, Southsea, Hants, PO4 0DN",Ace Furnishings Ltd,CS,01/04/2007,6900
177507816710,"86, Tangier Road, Portsmouth, PO3 6HU",Ace Processors Ltd,CS,07/05/2010,5500
177501614810,"122, Commercial Road, Portsmouth, PO1 1EJ",Acen Food Limited,CS,01/04/2021,39000
177511965310,"Unit 1 & 2, 373-375, Old Commercial Road, Portsmouth, PO1 4QG",Acp Freight  Services Ltd,CO,13/02/2013,15750
177508743010,"Ground Floor, 133, Winter Road, Southsea, Hants, PO4 8DR",Acronym Computers Ltd,CS,01/04/2018,4900
177507396520,"Unit 315, Victory Business Centre, Somers Road North, Portsmouth, PO1 1PJ",Active Communities Network,IF3O,01/08/2018,3050
177511386310,"86, Northern Road, Portsmouth, PO6 3ER",Active Health Ltd,MH,26/07/2008,10500
177505985310,"A4, Oak Park Industrial Estate, Northarbour Road, Portsmouth, PO6 3TJ",Activity Time Limited,CW,15/08/1998,41750
177500956120,"Adams Morey, Burrfields Road, Portsmouth, PO3 5NN",Adams Morey Ltd,IF3,25/12/2005,175000
177506045530,"54, Northern Road, Portsmouth, Hants, PO6 3DP",Addiction Recovery Centres Ltd,CO+,18/02/2013,9000
177510819410,"Office 3, Cathedral House, St Thomas'S Street, Portsmouth, PO1 2EZ",Addo Accounting Ltd,CO,01/09/2020,530
177509882310,"S71-72, East Building, Gunwharf Quays, Portsmouth, PO1 3TX",Adidas (Uk) Ltd,CS,12/02/2001,216000
177511594910,"First Floor 24-25, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Administrator Of Newultra Ltd,CR,21/01/2021,22750
177511803110,"Units 30-31, The Boardwalk, Port Solent, Portsmouth, PO6 4TP",Administrator Of Newultra Ltd,CR,21/01/2021,31500
177500312710,"12-14, Arundel Street, Portsmouth, PO1 1NL",Adminstrators Bm Retail Limited,CS,01/12/2020,55500
177505984610,"Unit 2, Acorn Business Centre, Northarbour Road, Portsmouth, PO6 3TH",Admiral Care Ltd,CO,11/09/2020,43250
177511678110,"2, Walberant Buildings, Copnor Road, Portsmouth, PO3 5LB",Admiral Care Training Ltd-,CS,07/05/2012,2950
177502215010,"Admiral Lord Nelson School, Dundas Lane, Portsmouth, PO3 5XT",Admiral Lord Nelson School,EL,01/04/2014,385000
177504993310,"Ground Floor, 120, London Road, Portsmouth, PO2 0NB",Adn Financial Solutions Ltd,CS,07/12/2020,23000
177512289610,"Parking Space 3, 3 Sovereign Gate, Commercial Road, Portsmouth, PO1 4BT",Adn Financial Solutions Ltd,CP1,01/04/2015,300
177506046010,"84, Northern Road, Portsmouth, PO6 3ER",Adp Dental Company Limited,MH,02/08/2007,13250
177510692920,"Ground Flr & Part 1st Flr, 33, Kingston Crescent, Portsmouth, PO2 8AA",Adp Dental Company Limited,MH,05/02/2007,29500
177510145510,"23, The Slipway, Marina Keep, Portsmouth, PO6 4TR",Advance Trs Ltd,CO,01/09/2020,10750
177510145610,"24, The Slipway, Marina Keep, Portsmouth, PO6 4TR",Advance Trs Ltd,CO,01/09/2020,10750
177508744910,"159, Winter Road, Southsea, Hants, PO4 8DR",Advance Vending Services Ltd,CS,01/03/1995,5500
177501618410,"214, Commercial Road, Portsmouth, PO1 1HG",Aew Uk Reit Plc,CS,11/11/2021,84000
177501618510,"216-218, Commercial Road, Portsmouth, PO1 1HG",Aew Uk Reit Plc,CS,07/07/2021,160000
